order_item_id,order_id,product_id,quantity,price
1,9198,843,3,372.32
2,18542,704,4,133.15
3,5070,955,5,443.47
4,8552,476,3,226.04
5,9608,321,3,171.97
6,8776,825,1,82.85
7,17822,548,3,151.39
8,21168,632,2,85.68
9,11958,69,5,294.02
10,19108,717,2,167.79
11,21194,196,2,367.38
12,3742,436,1,290.36
13,7791,5,2,151.69
14,9570,125,5,230.06
15,12465,762,4,268.58
16,6121,819,4,443.71
17,23276,315,1,310.18
18,16971,606,1,55.98
19,23749,667,4,233.46
20,17961,509,5,93.85
21,24677,499,2,399.25
22,2723,864,2,166.72
23,16350,89,4,377.48
24,5433,252,1,35.94
25,1002,575,4,192.89
26,17842,369,1,357.4
27,1504,379,2,357.99
28,15040,886,2,274.51
29,14630,509,5,175.72
30,9577,212,2,164.8
31,13858,342,4,246.88
32,18252,790,2,219.65
33,22244,272,2,358.3
34,14137,749,5,453.46
35,20165,517,4,109.46
36,4003,25,4,297.71
37,10020,174,5,335.31
38,13276,221,4,198.06
39,18357,422,5,241.86
40,23595,520,5,416.79
41,16050,604,2,457.31
42,12328,157,5,447.32
43,1679,548,2,241.86
44,14622,211,4,223.17
45,16105,189,3,96.33
46,16047,281,2,464.75
47,24222,731,5,94.78
48,4196,607,2,398.48
49,7360,886,3,255.8
50,125,310,3,409.61
51,23208,300,5,481.91
52,21324,817,1,254.45
53,19427,211,1,290.36
54,12988,453,5,399.25
55,13163,54,4,219.18
56,19011,210,3,62.75
57,23831,134,5,175.72
58,15481,498,1,381.57
59,10323,590,5,485.68
60,2475,605,3,265.01
61,12733,83,4,229.75
62,10392,856,3,19.35
63,17041,632,2,313.9
64,951,348,5,368.09
65,10395,585,3,303.94
66,7295,661,5,463.21
67,9206,100,1,214.4
68,493,380,5,290.6
69,20665,843,3,231.46
70,12180,986,3,265.56
71,2819,55,2,109.46
72,16354,607,2,5.14
73,5346,97,5,76.07
74,4604,999,4,24.02
75,22255,561,4,113.07
76,16822,655,2,491.76
77,8053,212,5,237.67
78,1632,451,3,119.71
79,15472,455,5,154.57
80,7731,864,2,303.29
81,2209,994,3,103.62
82,23486,85,4,316.44
83,20065,360,5,370.22
84,3692,812,3,164.04
85,11235,916,4,51.87
86,14055,35,4,67.27
87,14722,346,4,217.66
88,7481,742,4,96.33
89,5785,972,1,167.63
90,6004,273,1,315.27
91,1514,582,5,252.46
92,20897,603,1,393.7
93,10403,504,1,190.66
94,2313,662,2,188.93
95,21883,968,3,281.89
96,393,616,1,169.81
97,1116,361,5,343.41
98,11374,143,5,36.12
99,21241,663,5,447.32
100,23420,908,3,226.04
101,21145,584,2,457.79
102,5995,953,3,400.38
103,18788,164,1,275.55
104,11394,953,5,226.01
105,6643,423,3,109.46
106,20177,971,1,188.93
107,24621,318,4,294.19
108,14860,469,2,120.45
109,24728,6,2,379.5
110,3955,201,2,112.15
111,16018,414,4,81.86
112,18846,167,4,177.26
113,55,410,3,91.78
114,2459,696,1,23.41
115,13994,856,4,361.16
116,1737,727,4,84.76
117,9702,469,2,79.62
118,17637,238,4,106.26
119,18353,120,5,495.61
120,15449,986,2,247.6
121,4561,422,1,190.66
122,18186,857,3,340.29
123,3959,397,3,97.23
124,21240,416,5,447.32
125,12790,441,3,134.11
126,22701,674,1,414.79
127,15982,90,2,208.02
128,23709,135,2,151.39
129,16504,344,5,330.66
130,3567,562,3,27.3
131,6065,170,5,440.91
132,2637,164,1,31.0
133,3204,551,2,361.65
134,43,50,5,446.31
135,14345,694,2,329.85
136,3205,173,1,191.07
137,7931,829,3,364.55
138,12096,417,5,84.76
139,2872,839,5,495.17
140,23895,931,4,491.0
141,23177,260,3,51.44
142,642,166,5,496.29
143,3999,426,2,269.36
144,2189,631,2,214.71
145,16647,333,5,24.81
146,3833,879,3,68.04
147,24792,784,5,398.31
148,21809,874,1,364.67
149,11512,626,4,366.2
150,20803,249,5,456.78
151,13651,744,2,129.72
152,4930,831,4,109.0
153,13959,127,1,414.16
154,13750,31,5,33.63
155,1306,218,5,278.96
156,6554,410,4,198.99
157,21919,979,3,227.84
158,10734,162,4,447.93
159,6813,540,5,427.76
160,16568,72,3,245.46
161,1045,250,3,342.53
162,7307,517,5,278.19
163,10247,237,5,228.65
164,17326,3,4,479.22
165,21653,171,4,344.03
166,1898,403,3,290.36
167,7273,176,4,117.23
168,12595,499,5,192.25
169,10588,394,4,114.83
170,7165,173,1,438.35
171,656,291,3,252.46
172,1746,162,3,198.99
173,14202,899,5,367.06
174,22181,426,5,278.88
