order_id,customer_id,order_date,campaign_id,total_amount
1,1151,2024-07-24,11,33.18
2,537,2024-07-24,39,545.24
3,3605,2024-07-24,12,358.62
4,4939,2024-07-24,35,676.77
5,2285,2024-07-24,48,533.53
6,2856,2024-07-24,13,190.92
7,897,2024-07-24,12,256.97
8,251,2024-07-24,45,1721.92
9,2320,2024-07-24,2,460.03
10,380,2024-07-24,43,1810.95
11,12,2024-07-24,43,539.05
12,2905,2024-07-24,2,777.51
13,1420,2024-07-24,45,328.03
14,415,2024-07-24,25,1178.27
15,2755,2024-07-24,42,677.63
16,1578,2024-07-24,18,872.47
17,2720,2024-07-24,47,784.96
18,3279,2024-07-24,19,266.88
19,3184,2024-07-24,5,459.15
20,3213,2024-07-24,26,1519.61
21,2600,2024-07-24,30,1075.53
22,735,2024-07-24,20,603.31
23,2104,2024-07-24,44,466.76
24,762,2024-07-24,49,1311.41
25,2823,2024-07-24,14,1797.91
26,2162,2024-07-24,43,613.16
27,4205,2024-07-24,20,1512.25
28,3067,2024-07-24,7,1908.36
29,2187,2024-07-24,41,612.73
30,4397,2024-07-24,4,286.21
31,2584,2024-07-24,4,245.64
32,3867,2024-07-24,1,1445.45
33,1056,2024-07-24,4,1680.62
34,602,2024-07-24,35,1961.58
35,3129,2024-07-24,6,490.34
36,109,2024-07-24,39,1352.24
37,441,2024-07-24,19,1495.87
38,3753,2024-07-24,39,294.79
39,2914,2024-07-24,20,42.37
40,4295,2024-07-24,17,1460.84
41,3486,2024-07-24,18,1734.9
42,2632,2024-07-24,48,1639.83
43,3419,2024-07-24,4,422.15
44,2736,2024-07-24,48,488.12
45,806,2024-07-24,28,1926.93
46,3941,2024-07-24,45,784.68
47,3749,2024-07-24,7,78.23
48,4208,2024-07-24,24,1925.03
49,1184,2024-07-24,6,669.54
50,1009,2024-07-24,18,170.24
51,2011,2024-07-24,36,1649.89
52,2921,2024-07-24,33,913.06
53,4941,2024-07-24,46,765.08
54,2166,2024-07-24,27,1539.31
55,398,2024-07-24,13,402.48
56,4625,2024-07-24,48,1604.11
57,676,2024-07-24,8,1178.72
58,4006,2024-07-24,20,938.48
59,3476,2024-07-24,48,892.27
60,3456,2024-07-24,5,1433.05
61,1111,2024-07-24,29,464.63
62,3212,2024-07-24,17,1110.71
63,2923,2024-07-24,26,1764.66
64,3549,2024-07-24,19,203.32
65,508,2024-07-24,43,1186.58
66,622,2024-07-24,11,33.23
67,1125,2024-07-24,21,1680.33
68,1143,2024-07-24,4,1056.65
69,3977,2024-07-24,12,439.96
70,952,2024-07-24,8,772.9
71,4413,2024-07-24,12,945.51
72,674,2024-07-24,30,1672.53
73,1493,2024-07-24,31,1551.39
74,4096,2024-07-24,24,33.27
75,2630,2024-07-24,10,1256.68
76,382,2024-07-24,24,441.25
77,3149,2024-07-24,28,460.93
78,4156,2024-07-24,16,1963.51
79,3792,2024-07-24,42,1439.92
80,1052,2024-07-24,27,1954.55
81,4437,2024-07-24,32,1961.43
82,1677,2024-07-24,32,1781.51
83,567,2024-07-24,19,896.29
84,831,2024-07-24,19,1370.15
85,4111,2024-07-24,2,1813.03
86,719,2024-07-24,50,1562.56
87,1884,2024-07-24,50,142.44
88,427,2024-07-24,42,732.46
89,1611,2024-07-24,12,703.31
90,1738,2024-07-24,32,1706.54
91,4086,2024-07-24,32,421.0
92,1427,2024-07-24,1,1491.79
93,4407,2024-07-24,7,1306.02
94,1251,2024-07-24,16,829.55
95,3017,2024-07-24,19,48.42
96,2022,2024-07-24,50,923.83
97,3154,2024-07-24,5,1275.79
98,1216,2024-07-24,35,363.65
99,144,2024-07-24,7,356.32
100,1398,2024-07-24,15,955.75
101,3036,2024-07-24,10,1510.91
102,4226,2024-07-24,38,1074.07
103,4836,2024-07-24,24,757.94
104,693,2024-07-24,15,1840.22
105,794,2024-07-24,1,1743.67
106,1737,2024-07-24,32,299.09
107,3349,2024-07-24,17,1063.75
108,3581,2024-07-24,24,964.44
109,4290,2024-07-24,11,714.12
110,4457,2024-07-24,41,1268.33
111,410,2024-07-24,21,1610.46
112,3867,2024-07-24,21,925.18
113,4379,2024-07-24,4,1860.97
114,4944,2024-07-24,18,163.42
115,247,2024-07-24,24,1451.71
116,3969,2024-07-24,32,614.38
117,371,2024-07-24,2,1457.92
118,207,2024-07-24,29,1971.64
119,349,2024-07-24,3,1496.14
120,166,2024-07-24,5,653.9
121,1341,2024-07-24,36,532.99
122,2799,2024-07-24,21,1565.51
123,3174,2024-07-24,13,200.81
124,4461,2024-07-24,40,220.95
125,3593,2024-07-24,44,1599.25
126,1010,2024-07-24,11,1086.66
127,2226,2024-07-24,47,216.89
128,153,2024-07-24,6,1068.69
129,445,2024-07-24,2,534.01
130,2159,2024-07-24,36,1310.22
131,4109,2024-07-24,44,1870.23
132,48,2024-07-24,22,1768.54
133,4811,2024-07-24,50,214.39
134,410,2024-07-24,30,1198.62
135,4817,2024-07-24,19,996.36
136,3124,2024-07-24,10,337.96
137,2686,2024-07-24,46,1850.64
138,2237,2024-07-24,26,1573.2
139,787,2024-07-24,27,511.37
140,811,2024-07-24,15,634.14
141,1075,2024-07-24,20,812.54
142,554,2024-07-24,48,1740.75
143,468,2024-07-24,46,1036.96
144,477,2024-07-24,32,1231.34
145,2944,2024-07-24,6,203.59
146,2463,2024-07-24,33,1592.92
147,239,2024-07-24,4,487.82
148,555,2024-07-24,5,1843.39
149,1079,2024-07-24,46,1045.36
150,1675,2024-07-24,34,1060.38
151,106,2024-07-24,9,40.0
152,4576,2024-07-24,39,1929.56
153,664,2024-07-24,4,403.33
154,2424,2024-07-24,37,1438.09
155,3577,2024-07-24,45,1724.69
156,520,2024-07-24,36,1773.08
157,413,2024-07-24,29,126.88
158,1053,2024-07-24,16,740.22
159,707,2024-07-24,42,434.11
160,3492,2024-07-24,24,177.26
161,894,2024-07-24,39,1527.01
162,4384,2024-07-24,41,1636.78
163,3017,2024-07-24,34,1944.35
164,3373,2024-07-24,1,1094.18
165,1782,2024-07-24,26,624.88
166,1758,2024-07-24,36,492.56
167,3903,2024-07-24,47,1631.26
168,2334,2024-07-24,1,26.41
169,3238,2024-07-24,40,955.54
170,2427,2024-07-24,41,456.99
171,3139,2024-07-24,1,933.71
172,503,2024-07-24,27,1603.5
173,4796,2024-07-24,26,871.35
174,1542,2024-07-24,40,1405.51
175,1187,2024-07-24,16,61.85
176,2486,2024-07-24,23,586.49
177,1944,2024-07-24,17,320.48
178,4756,2024-07-24,27,263.22
179,2635,2024-07-24,9,419.71
180,2312,2024-07-24,12,1000.64
181,3014,2024-07-24,27,173.17
182,1997,2024-07-24,28,1363.59
183,997,2024-07-24,22,981.98
184,3177,2024-07-24,9,1605.89
185,1553,2024-07-24,8,826.83
186,750,2024-07-24,42,1902.65
187,170,2024-07-24,17,677.59
188,1421,2024-07-24,39,1757.42
189,1617,2024-07-24,24,1359.88
190,4030,2024-07-24,39,1100.43
191,3171,2024-07-24,2,311.93
192,236,2024-07-24,9,1870.42
193,1409,2024-07-24,1,541.33
194,41,2024-07-24,23,87.02
195,636,2024-07-24,43,1284.11
196,3294,2024-07-24,37,903.51
